Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.35000000000000003, inplace=False)
    (1): Linear(in_features=2048, out_features=800, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.35000000000000003, inplace=False)
    (4): Linear(in_features=800, out_features=800, bias=True)
    (5): ReLU()
    (6): Dropout(p=0.35000000000000003, inplace=False)
    (7): Linear(in_features=800, out_features=13, bias=True)
  )
)
Number of parameters = 2,290,413
Moving model to cuda
Epoch 0
Loss = 6.0970e-01, PNorm = 44.4676, GNorm = 0.5345, lr_0 = 1.0656e-04
Loss = 4.4969e-01, PNorm = 44.4912, GNorm = 0.4424, lr_0 = 1.1252e-04
Loss = 3.0858e-01, PNorm = 44.5262, GNorm = 0.3537, lr_0 = 1.1848e-04
Loss = 2.3240e-01, PNorm = 44.5639, GNorm = 0.2510, lr_0 = 1.2444e-04
Loss = 1.3798e-01, PNorm = 44.5941, GNorm = 0.1724, lr_0 = 1.3040e-04
Loss = 1.2685e-01, PNorm = 44.6151, GNorm = 0.2855, lr_0 = 1.3636e-04
Loss = 2.1559e-01, PNorm = 44.6174, GNorm = 0.2897, lr_0 = 1.4232e-04
Loss = 1.8500e-01, PNorm = 44.6127, GNorm = 0.2790, lr_0 = 1.4828e-04
Loss = 1.8729e-01, PNorm = 44.6100, GNorm = 0.1496, lr_0 = 1.5424e-04
Loss = 1.4412e-01, PNorm = 44.6142, GNorm = 0.2501, lr_0 = 1.6020e-04
Loss = 1.3603e-01, PNorm = 44.6254, GNorm = 0.2086, lr_0 = 1.6616e-04
Loss = 1.2774e-01, PNorm = 44.6385, GNorm = 0.2752, lr_0 = 1.7212e-04
Loss = 1.5000e-01, PNorm = 44.6433, GNorm = 0.1414, lr_0 = 1.7808e-04
Loss = 1.5135e-01, PNorm = 44.6508, GNorm = 0.1474, lr_0 = 1.8404e-04
Loss = 1.8538e-01, PNorm = 44.6553, GNorm = 0.1959, lr_0 = 1.9000e-04
Loss = 1.9161e-01, PNorm = 44.6591, GNorm = 0.2002, lr_0 = 1.9596e-04
Loss = 1.4457e-01, PNorm = 44.6717, GNorm = 0.1579, lr_0 = 2.0192e-04
Loss = 1.7695e-01, PNorm = 44.6896, GNorm = 0.2443, lr_0 = 2.0788e-04
Loss = 1.3648e-01, PNorm = 44.7092, GNorm = 0.1664, lr_0 = 2.1384e-04
Loss = 1.9210e-01, PNorm = 44.7222, GNorm = 0.3243, lr_0 = 2.1980e-04
Loss = 1.8018e-01, PNorm = 44.7365, GNorm = 0.1663, lr_0 = 2.2576e-04
Loss = 1.9021e-01, PNorm = 44.7540, GNorm = 0.1471, lr_0 = 2.3172e-04
Loss = 1.7149e-01, PNorm = 44.7838, GNorm = 0.2687, lr_0 = 2.3768e-04
Loss = 1.6542e-01, PNorm = 44.8103, GNorm = 0.1556, lr_0 = 2.4364e-04
Loss = 1.7508e-01, PNorm = 44.8356, GNorm = 0.1927, lr_0 = 2.4960e-04
Loss = 1.2757e-01, PNorm = 44.8676, GNorm = 0.2135, lr_0 = 2.5556e-04
Loss = 1.7024e-01, PNorm = 44.8960, GNorm = 0.3590, lr_0 = 2.6152e-04
Loss = 1.5186e-01, PNorm = 44.9136, GNorm = 0.3343, lr_0 = 2.6748e-04
Loss = 1.4758e-01, PNorm = 44.9367, GNorm = 0.1883, lr_0 = 2.7344e-04
Loss = 1.8453e-01, PNorm = 44.9607, GNorm = 0.1662, lr_0 = 2.7940e-04
Loss = 1.5425e-01, PNorm = 44.9938, GNorm = 0.2582, lr_0 = 2.8536e-04
Loss = 1.4436e-01, PNorm = 45.0346, GNorm = 0.1280, lr_0 = 2.9132e-04
Loss = 1.3422e-01, PNorm = 45.0714, GNorm = 0.2208, lr_0 = 2.9728e-04
Loss = 2.0040e-01, PNorm = 45.0912, GNorm = 0.1920, lr_0 = 3.0325e-04
Loss = 2.1603e-01, PNorm = 45.1080, GNorm = 0.2122, lr_0 = 3.0921e-04
Loss = 1.7373e-01, PNorm = 45.1620, GNorm = 0.2936, lr_0 = 3.1517e-04
Loss = 2.2851e-01, PNorm = 45.2098, GNorm = 0.3271, lr_0 = 3.2113e-04
Loss = 1.7617e-01, PNorm = 45.2610, GNorm = 0.1589, lr_0 = 3.2709e-04
Loss = 1.5568e-01, PNorm = 45.3212, GNorm = 0.1726, lr_0 = 3.3305e-04
Loss = 1.2184e-01, PNorm = 45.3859, GNorm = 0.1096, lr_0 = 3.3901e-04
Loss = 1.5914e-01, PNorm = 45.4210, GNorm = 0.0916, lr_0 = 3.4497e-04
Loss = 1.7012e-01, PNorm = 45.4398, GNorm = 0.1465, lr_0 = 3.5093e-04
Loss = 1.9761e-01, PNorm = 45.4871, GNorm = 0.4750, lr_0 = 3.5689e-04
Loss = 1.4212e-01, PNorm = 45.5405, GNorm = 0.2030, lr_0 = 3.6285e-04
Loss = 1.9283e-01, PNorm = 45.5860, GNorm = 0.1780, lr_0 = 3.6881e-04
Loss = 1.3974e-01, PNorm = 45.6451, GNorm = 0.1978, lr_0 = 3.7477e-04
Loss = 1.5692e-01, PNorm = 45.6981, GNorm = 0.1722, lr_0 = 3.8073e-04
Loss = 1.5363e-01, PNorm = 45.7566, GNorm = 0.2961, lr_0 = 3.8669e-04
Loss = 1.5879e-01, PNorm = 45.8053, GNorm = 0.2173, lr_0 = 3.9265e-04
Loss = 1.6967e-01, PNorm = 45.8658, GNorm = 0.2995, lr_0 = 3.9861e-04
Loss = 1.7590e-01, PNorm = 45.9198, GNorm = 0.2204, lr_0 = 4.0457e-04
Loss = 1.4141e-01, PNorm = 45.9949, GNorm = 0.1652, lr_0 = 4.1053e-04
Loss = 1.7891e-01, PNorm = 46.0546, GNorm = 0.1925, lr_0 = 4.1649e-04
Loss = 1.7347e-01, PNorm = 46.1146, GNorm = 0.1641, lr_0 = 4.2245e-04
Loss = 1.6765e-01, PNorm = 46.1866, GNorm = 0.1671, lr_0 = 4.2841e-04
Loss = 1.7709e-01, PNorm = 46.2722, GNorm = 0.5136, lr_0 = 4.3437e-04
Loss = 1.7137e-01, PNorm = 46.3237, GNorm = 0.1925, lr_0 = 4.4033e-04
Loss = 1.1090e-01, PNorm = 46.4034, GNorm = 0.1304, lr_0 = 4.4629e-04
Loss = 1.6121e-01, PNorm = 46.4632, GNorm = 0.1151, lr_0 = 4.5225e-04
Loss = 1.6451e-01, PNorm = 46.5216, GNorm = 0.2617, lr_0 = 4.5821e-04
Loss = 1.5527e-01, PNorm = 46.5991, GNorm = 0.1583, lr_0 = 4.6417e-04
Loss = 2.1722e-01, PNorm = 46.6569, GNorm = 0.1619, lr_0 = 4.7013e-04
Loss = 1.5098e-01, PNorm = 46.7483, GNorm = 0.1770, lr_0 = 4.7609e-04
Loss = 1.7945e-01, PNorm = 46.8426, GNorm = 0.3810, lr_0 = 4.8205e-04
Loss = 1.7822e-01, PNorm = 46.9065, GNorm = 0.2492, lr_0 = 4.8801e-04
Loss = 1.4776e-01, PNorm = 47.0101, GNorm = 0.2898, lr_0 = 4.9397e-04
Loss = 2.2547e-01, PNorm = 47.0642, GNorm = 0.2112, lr_0 = 4.9993e-04
Loss = 1.3026e-01, PNorm = 47.1775, GNorm = 0.1475, lr_0 = 5.0589e-04
Loss = 1.3023e-01, PNorm = 47.2652, GNorm = 0.2270, lr_0 = 5.1185e-04
Loss = 1.4522e-01, PNorm = 47.3036, GNorm = 0.2521, lr_0 = 5.1781e-04
Loss = 1.0977e-01, PNorm = 47.3684, GNorm = 0.1339, lr_0 = 5.2377e-04
Loss = 2.1329e-01, PNorm = 47.4009, GNorm = 0.2714, lr_0 = 5.2974e-04
Loss = 1.5311e-01, PNorm = 47.4966, GNorm = 0.2000, lr_0 = 5.3570e-04
Loss = 1.4622e-01, PNorm = 47.6005, GNorm = 0.1708, lr_0 = 5.4166e-04
Loss = 2.0815e-01, PNorm = 47.6461, GNorm = 0.1674, lr_0 = 5.4762e-04
Validation auc = 0.679742
Epoch 1
Loss = 1.8187e-01, PNorm = 47.7415, GNorm = 0.3262, lr_0 = 5.5417e-04
Loss = 1.7814e-01, PNorm = 47.8328, GNorm = 0.1810, lr_0 = 5.6013e-04
Loss = 1.2429e-01, PNorm = 47.9350, GNorm = 0.1129, lr_0 = 5.6609e-04
Loss = 1.5917e-01, PNorm = 48.0072, GNorm = 0.1733, lr_0 = 5.7205e-04
Loss = 1.3559e-01, PNorm = 48.0858, GNorm = 0.1789, lr_0 = 5.7801e-04
Loss = 1.6084e-01, PNorm = 48.1681, GNorm = 0.2090, lr_0 = 5.8397e-04
Loss = 1.3398e-01, PNorm = 48.2663, GNorm = 0.2152, lr_0 = 5.8993e-04
Loss = 1.3589e-01, PNorm = 48.3546, GNorm = 0.1377, lr_0 = 5.9589e-04
Loss = 1.1915e-01, PNorm = 48.4283, GNorm = 0.1311, lr_0 = 6.0185e-04
Loss = 1.2383e-01, PNorm = 48.5066, GNorm = 0.2266, lr_0 = 6.0781e-04
Loss = 1.2159e-01, PNorm = 48.5963, GNorm = 0.1971, lr_0 = 6.1377e-04
Loss = 2.0455e-01, PNorm = 48.6483, GNorm = 0.2051, lr_0 = 6.1974e-04
Loss = 1.3173e-01, PNorm = 48.7905, GNorm = 0.3195, lr_0 = 6.2570e-04
Loss = 1.5851e-01, PNorm = 48.8820, GNorm = 0.1719, lr_0 = 6.3166e-04
Loss = 1.7381e-01, PNorm = 48.9771, GNorm = 0.2014, lr_0 = 6.3762e-04
Loss = 1.7521e-01, PNorm = 49.1193, GNorm = 0.2741, lr_0 = 6.4358e-04
Loss = 1.4033e-01, PNorm = 49.2528, GNorm = 0.2108, lr_0 = 6.4954e-04
Loss = 1.4877e-01, PNorm = 49.3530, GNorm = 0.2747, lr_0 = 6.5550e-04
Loss = 1.5404e-01, PNorm = 49.4380, GNorm = 0.1862, lr_0 = 6.6146e-04
Loss = 2.1719e-01, PNorm = 49.5229, GNorm = 0.2377, lr_0 = 6.6742e-04
Loss = 1.1246e-01, PNorm = 49.7030, GNorm = 0.2975, lr_0 = 6.7338e-04
Loss = 1.3864e-01, PNorm = 49.7901, GNorm = 0.0822, lr_0 = 6.7934e-04
Loss = 1.8469e-01, PNorm = 49.8386, GNorm = 0.2481, lr_0 = 6.8530e-04
Loss = 1.4018e-01, PNorm = 49.9618, GNorm = 0.1929, lr_0 = 6.9126e-04
Loss = 1.8978e-01, PNorm = 50.0791, GNorm = 0.1161, lr_0 = 6.9722e-04
Loss = 1.8495e-01, PNorm = 50.1662, GNorm = 0.3109, lr_0 = 7.0318e-04
Loss = 1.4344e-01, PNorm = 50.2991, GNorm = 0.1998, lr_0 = 7.0914e-04
Loss = 1.3248e-01, PNorm = 50.4188, GNorm = 0.2004, lr_0 = 7.1510e-04
Loss = 1.3422e-01, PNorm = 50.5186, GNorm = 0.1077, lr_0 = 7.2106e-04
Loss = 1.3478e-01, PNorm = 50.6143, GNorm = 0.3309, lr_0 = 7.2702e-04
Loss = 1.3211e-01, PNorm = 50.7076, GNorm = 0.2338, lr_0 = 7.3298e-04
Loss = 1.8861e-01, PNorm = 50.7956, GNorm = 0.5823, lr_0 = 7.3894e-04
Loss = 1.2879e-01, PNorm = 50.9156, GNorm = 0.1860, lr_0 = 7.4490e-04
