Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 6.7698e-01, PNorm = 19.3797, GNorm = 0.8683, lr_0 = 1.0656e-04
Loss = 4.7836e-01, PNorm = 19.3920, GNorm = 0.5715, lr_0 = 1.1252e-04
Loss = 3.3665e-01, PNorm = 19.4118, GNorm = 0.4083, lr_0 = 1.1848e-04
Loss = 2.5897e-01, PNorm = 19.4354, GNorm = 0.2874, lr_0 = 1.2444e-04
Loss = 1.6330e-01, PNorm = 19.4587, GNorm = 0.2168, lr_0 = 1.3040e-04
Loss = 1.4614e-01, PNorm = 19.4804, GNorm = 0.1283, lr_0 = 1.3636e-04
Loss = 2.0673e-01, PNorm = 19.4915, GNorm = 0.1130, lr_0 = 1.4232e-04
Loss = 1.9076e-01, PNorm = 19.4941, GNorm = 0.1168, lr_0 = 1.4828e-04
Loss = 1.8690e-01, PNorm = 19.4932, GNorm = 0.1129, lr_0 = 1.5424e-04
Loss = 1.4488e-01, PNorm = 19.4939, GNorm = 0.1270, lr_0 = 1.6020e-04
Loss = 1.4278e-01, PNorm = 19.4989, GNorm = 0.1094, lr_0 = 1.6616e-04
Loss = 1.2938e-01, PNorm = 19.5066, GNorm = 0.1552, lr_0 = 1.7212e-04
Loss = 1.6051e-01, PNorm = 19.5071, GNorm = 0.1040, lr_0 = 1.7808e-04
