Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout_layer): Dropout(p=0.4, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=1300, bias=False)
        (W_h): Linear(in_features=1300, out_features=1300, bias=False)
        (W_o): Linear(in_features=1433, out_features=1300, bias=True)
      )
    )
  )
  (ffn): Sequential(
    (0): Dropout(p=0.4, inplace=False)
    (1): Linear(in_features=1500, out_features=1300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.4, inplace=False)
    (4): Linear(in_features=1300, out_features=13, bias=True)
  )
)
Number of parameters = 5,713,513
Moving model to cuda
Epoch 0
Loss = 3.5895e-01, PNorm = 65.9419, GNorm = 0.2748, lr_0 = 1.0656e-04
Loss = 2.0763e-01, PNorm = 65.9515, GNorm = 0.5114, lr_0 = 1.1252e-04
Loss = 1.5930e-01, PNorm = 65.9520, GNorm = 0.2992, lr_0 = 1.1848e-04
Loss = 1.9259e-01, PNorm = 65.9565, GNorm = 0.2616, lr_0 = 1.2444e-04
Loss = 1.1589e-01, PNorm = 65.9615, GNorm = 0.2106, lr_0 = 1.3040e-04
Loss = 1.2857e-01, PNorm = 65.9649, GNorm = 0.6046, lr_0 = 1.3636e-04
Loss = 2.1211e-01, PNorm = 65.9608, GNorm = 0.2847, lr_0 = 1.4232e-04
Loss = 1.8567e-01, PNorm = 65.9668, GNorm = 0.2616, lr_0 = 1.4828e-04
Loss = 1.9431e-01, PNorm = 65.9696, GNorm = 0.2388, lr_0 = 1.5424e-04
Loss = 1.5059e-01, PNorm = 65.9751, GNorm = 0.2524, lr_0 = 1.6020e-04
Loss = 1.4153e-01, PNorm = 65.9811, GNorm = 0.3263, lr_0 = 1.6616e-04
Loss = 1.2477e-01, PNorm = 65.9834, GNorm = 0.2887, lr_0 = 1.7212e-04
Loss = 1.6349e-01, PNorm = 65.9886, GNorm = 0.2426, lr_0 = 1.7808e-04
Loss = 1.4623e-01, PNorm = 65.9957, GNorm = 0.1645, lr_0 = 1.8404e-04
Loss = 1.7799e-01, PNorm = 65.9989, GNorm = 0.2022, lr_0 = 1.9000e-04
